BRook1,BKnight1,BBishop1,BKing,BQueen1,BBishop2,BKnight2,BRook2,BPawn1,BPawn2,BPawn3,BPawn4,BPawn5,BPawn6,BPawn7,BPawn8,WPawn1,WPawn2,WPawn3,WPawn4,WPawn5,WPawn6,WPawn7,WPawn8,WRook1,WKnight1,WBishop1,WKing,WQueen1,WBishop2,WKnight2,WRook2,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,move_range_num
64.0,63.0,62.0,61.0,60.0,59.0,58.0,57.0,56.0,55.0,54.0,53.0,52.0,51.0,50.0,49.0,29.0,16.0,15.0,14.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783
64.0,63.0,62.0,61.0,60.0,59.0,58.0,57.0,56.0,55.0,54.0,52.0,51.0,50.0,49.0,37.0,29.0,16.0,15.0,14.0,12.0,11.0,10.0,9.0,8.0,22.0,6.0,5.0,4.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398
64.0,63.0,62.0,61.0,60.0,59.0,43.0,57.0,56.0,55.0,54.0,52.0,51.0,50.0,49.0,37.0,29.0,16.0,15.0,14.0,12.0,11.0,10.0,9.0,8.0,22.0,34.0,5.0,4.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347
64.0,63.0,62.0,61.0,60.0,59.0,0.0,57.0,56.0,55.0,52.0,51.0,50.0,49.0,38.0,37.0,29.0,16.0,15.0,14.0,12.0,11.0,10.0,9.0,8.0,22.0,43.0,5.0,4.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120
64.0,63.0,62.0,61.0,60.0,59.0,0.0,57.0,56.0,55.0,52.0,51.0,49.0,43.0,38.0,0.0,29.0,16.0,15.0,14.0,12.0,11.0,10.0,9.0,8.0,37.0,3.0,5.0,4.0,0.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358
64.0,63.0,62.0,61.0,53.0,59.0,0.0,57.0,56.0,55.0,52.0,51.0,49.0,38.0,0.0,0.0,29.0,16.0,15.0,14.0,12.0,11.0,10.0,9.0,8.0,43.0,3.0,5.0,4.0,0.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2309
64.0,63.0,62.0,61.0,53.0,59.0,0.0,57.0,56.0,55.0,51.0,49.0,43.0,38.0,0.0,0.0,29.0,16.0,15.0,14.0,12.0,11.0,10.0,9.0,8.0,2.0,3.0,5.0,13.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
64.0,46.0,62.0,61.0,53.0,59.0,0.0,57.0,56.0,55.0,51.0,49.0,43.0,0.0,0.0,0.0,38.0,16.0,15.0,14.0,12.0,11.0,10.0,9.0,8.0,2.0,3.0,5.0,13.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
64.0,46.0,62.0,61.0,0.0,59.0,0.0,57.0,56.0,55.0,51.0,49.0,43.0,0.0,0.0,0.0,38.0,16.0,15.0,14.0,12.0,11.0,10.0,9.0,8.0,2.0,3.0,13.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263
64.0,46.0,62.0,61.0,0.0,38.0,0.0,57.0,56.0,55.0,51.0,49.0,43.0,0.0,0.0,0.0,16.0,15.0,14.0,12.0,11.0,10.0,9.0,0.0,8.0,19.0,3.0,13.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
64.0,46.0,62.0,61.0,0.0,31.0,0.0,57.0,56.0,55.0,51.0,49.0,43.0,0.0,0.0,0.0,22.0,16.0,15.0,12.0,11.0,10.0,9.0,0.0,8.0,19.0,3.0,13.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839
64.0,46.0,62.0,61.0,0.0,52.0,0.0,57.0,56.0,55.0,51.0,49.0,43.0,0.0,0.0,0.0,28.0,22.0,16.0,15.0,11.0,10.0,9.0,0.0,8.0,19.0,3.0,13.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719
64.0,46.0,52.0,61.0,0.0,44.0,0.0,57.0,56.0,55.0,51.0,49.0,43.0,0.0,0.0,0.0,28.0,22.0,16.0,15.0,11.0,10.0,9.0,0.0,8.0,19.0,39.0,13.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163
64.0,40.0,52.0,61.0,0.0,44.0,0.0,57.0,56.0,55.0,51.0,49.0,43.0,0.0,0.0,0.0,28.0,22.0,16.0,15.0,11.0,10.0,9.0,0.0,8.0,19.0,39.0,13.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
62.0,40.0,52.0,63.0,0.0,44.0,0.0,57.0,56.0,55.0,51.0,49.0,43.0,0.0,0.0,0.0,31.0,28.0,22.0,16.0,11.0,10.0,9.0,0.0,8.0,19.0,39.0,13.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911
62.0,0.0,52.0,63.0,0.0,44.0,0.0,57.0,56.0,55.0,51.0,49.0,43.0,0.0,0.0,0.0,31.0,28.0,22.0,16.0,11.0,10.0,9.0,0.0,8.0,19.0,30.0,13.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2423
57.0,0.0,52.0,63.0,0.0,44.0,0.0,30.0,56.0,55.0,51.0,49.0,43.0,0.0,0.0,0.0,31.0,28.0,22.0,16.0,11.0,10.0,9.0,0.0,8.0,19.0,0.0,21.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775
61.0,0.0,52.0,63.0,0.0,44.0,0.0,30.0,56.0,55.0,51.0,49.0,43.0,0.0,0.0,0.0,31.0,28.0,22.0,16.0,11.0,10.0,9.0,0.0,8.0,29.0,0.0,21.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161
61.0,0.0,52.0,63.0,0.0,44.0,0.0,30.0,56.0,55.0,51.0,43.0,41.0,0.0,0.0,0.0,31.0,28.0,27.0,22.0,16.0,10.0,9.0,0.0,8.0,29.0,0.0,21.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655
61.0,0.0,52.0,63.0,0.0,44.0,0.0,30.0,56.0,55.0,51.0,43.0,33.0,0.0,0.0,0.0,35.0,31.0,28.0,22.0,16.0,10.0,9.0,0.0,8.0,29.0,0.0,21.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671
30.0,0.0,52.0,63.0,0.0,44.0,0.0,0.0,56.0,55.0,51.0,43.0,33.0,0.0,0.0,0.0,35.0,31.0,29.0,28.0,16.0,10.0,9.0,0.0,8.0,0.0,0.0,21.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350
46.0,0.0,52.0,63.0,0.0,0.0,0.0,0.0,56.0,55.0,51.0,43.0,33.0,0.0,0.0,0.0,44.0,31.0,29.0,28.0,16.0,10.0,9.0,0.0,8.0,0.0,0.0,21.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2184
44.0,0.0,52.0,63.0,0.0,0.0,0.0,0.0,56.0,55.0,51.0,43.0,33.0,0.0,0.0,0.0,37.0,31.0,28.0,16.0,10.0,9.0,0.0,0.0,8.0,0.0,0.0,21.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1799
36.0,0.0,52.0,63.0,0.0,0.0,0.0,0.0,56.0,55.0,51.0,43.0,33.0,0.0,0.0,0.0,37.0,31.0,28.0,16.0,10.0,9.0,0.0,0.0,8.0,0.0,0.0,29.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1287
36.0,0.0,45.0,63.0,0.0,0.0,0.0,0.0,56.0,55.0,51.0,43.0,33.0,0.0,0.0,0.0,37.0,31.0,28.0,17.0,16.0,10.0,0.0,0.0,8.0,0.0,0.0,29.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519
36.0,0.0,31.0,63.0,0.0,0.0,0.0,0.0,56.0,55.0,51.0,43.0,33.0,0.0,0.0,0.0,37.0,28.0,26.0,17.0,16.0,0.0,0.0,0.0,8.0,0.0,0.0,29.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591
36.0,0.0,31.0,63.0,0.0,0.0,0.0,0.0,56.0,55.0,51.0,43.0,0.0,0.0,0.0,0.0,37.0,28.0,26.0,16.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,29.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032
36.0,0.0,40.0,63.0,0.0,0.0,0.0,0.0,56.0,55.0,51.0,43.0,0.0,0.0,0.0,0.0,37.0,34.0,28.0,16.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,29.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1607
36.0,0.0,47.0,63.0,0.0,0.0,0.0,0.0,56.0,55.0,51.0,43.0,0.0,0.0,0.0,0.0,37.0,34.0,28.0,16.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,21.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784
36.0,0.0,47.0,63.0,0.0,0.0,0.0,0.0,56.0,55.0,51.0,34.0,0.0,0.0,0.0,0.0,37.0,28.0,16.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,21.0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447
